#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
49,Slovakia,"1,855,037",,"20,712                                ",,"1,832,861",,"1,464",34,"339,738","3,793","7,347,836","1,345,710","5,460,193 ",Europe,,32641,,,268,
50,Georgia,"1,785,138",,"16,912                                ",,"1,637,293",,"130,933",,"449,800","4,261","16,920,079","4,263,340","3,968,738 ",Asia,,22350,,,"32,991",
51,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,,67291,,,181,
52,Ireland,"1,677,386",,"8,102                                ",,"1,663,511",,"5,773",11,"334,127","1,614","12,827,698","2,555,217","5,020,199 ",Europe,,36200,,,"1,150",
53,Pakistan,"1,574,939",+25,"30,630                                ",,"1,538,689",,"5,620",46,"6,863",133,"30,570,862","133,213","229,488,994 ",Asia,,"1467,4928",0.1,,24,
54,Norway,"1,467,622",,"4,325                                ",,"1,461,259",,"2,038",20,"266,290",785,"11,002,430","1,996,315","5,511,370 ",Europe,,"41,2741",,,370,
55,Kazakhstan,"1,395,857",+56,"13,693                                ",,"1,380,356",,"1,808",24,"72,682",713,"11,575,012","602,707","19,205,043 ",Asia,,"141,4032",3,,94,
56,Finland,"1,384,654",,"7,173                                ",,"1,346,711","+1,730","30,770",21,"249,264","1,291","11,756,851","2,116,460","5,554,960 ",Europe,,47740,,,"5,539",
57,Bulgaria,"1,285,645",,"38,010                                ",,"1,240,394",,"7,241",55,"187,834","5,553","10,790,780","1,576,540","6,844,597 ",Europe,,51801,,,"1,058",
58,Lithuania,"1,273,064",,"9,419                                ",,"1,259,233",,"4,412",7,"478,288","3,539","10,246,165","3,849,470","2,661,708 ",Europe,,22830,,,"1,658",
59,Morocco,"1,267,350",,"16,283                                ",,"1,250,292",,775,293,"33,552",431,"12,724,759","336,877","37,772,756 ",Africa,,"302,3203",,,21,
60,Croatia,"1,251,441",,"17,268                                ",,"1,232,844",,"1,329",7,"308,291","4,254","5,343,116","1,316,270","4,059,286 ",Europe,,32351,,,327,
61,Slovenia,"1,247,950",,"6,909                                ",,"1,231,074",,"9,967",19,"600,544","3,325","2,779,239","1,337,437","2,078,034 ",Europe,,23011,,,"4,796",
62,Lebanon,"1,220,127",,"10,729                                ",,"1,087,587",,"121,811",74,"182,521","1,605","4,795,578","717,380","6,684,849 ",Asia,,56231,,,"18,222",
63,Guatemala,"1,148,614",,"19,939                                ",,"1,126,574",,"2,101",5,"61,806","1,073","6,240,153","335,780","18,584,039 ",North America,,169323,,,113,
64,Tunisia,"1,146,799",,"29,266                                ",,N/A,N/A,N/A,44,"95,196","2,429","4,971,787","412,711","12,046,656 ",Africa,,114122,,,625,
65,Costa Rica,"1,143,597",,"9,031                                ",,"860,711",,"273,855",52,"220,671","1,743","4,659,757","899,158","5,182,354 ",North America,,55741,,,"52,844",
66,Cuba,"1,111,345",,"8,530                                ",,"1,102,742",,73,23,"98,300",754,"14,184,566","1,254,644","11,305,652 ",North America,,"101,3251",,,6,
67,Bolivia,"1,110,190",,"22,244                                ",,"1,076,601",,"11,345",220,"92,572","1,855","2,705,422","225,590","11,992,656 ",South America,,115394,,,946,
68,UAE,"1,042,779",,"2,348                                ",,"1,021,899",,"18,532",,"103,432",233,"196,671,691","19,507,626","10,081,785 ",Asia,,"104,2940",,,"1,838",
69,Ecuador,"1,009,388",,"35,935                                ",,"973,109",,344,759,"55,726","1,984","3,082,403","170,173","18,113,361 ",South America,,185046,,,19,
70,Nepal,"1,000,855",,"12,019                                ",,"988,430",,406,,"33,113",398,"5,972,968","197,613","30,225,582 ",Asia,,"302,5155",,,13,
71,Panama,"995,726",,"8,519                                ",,"983,705",,"3,502",16,"223,911","1,916","7,221,986","1,624,026","4,446,964 ",North America,,45221,,,788,
72,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,,"91,3251",,,141,
73,Uruguay,"992,887",,"7,530                                ",,"984,476",,881,18,"284,005","2,154","6,114,822","1,749,083","3,496,016 ",South America,,44641,,,252,
74,Mongolia,"989,713",,"2,179                                ",,"983,473",,"4,061",192,"292,981",645,"4,030,048","1,193,000","3,378,078 ",Asia,,"31,5501",,,"1,202",
75,Latvia,"959,835",,"6,083                                ",,"948,889",,"4,863",3,"519,156","3,290","7,746,372","4,189,862","1,848,837 ",Europe,,23040,,,"2,630",
76,Saudi Arabia,"825,176",,"9,448                                ",,"812,454",,"3,274",63,"23,021",264,"44,766,876","1,248,905","35,844,909 ",Asia,,"433,7941",,,91,
77,Azerbaijan,"823,975",,"9,973                                ",,"813,753",,249,,"79,996",968,"7,358,931","714,445","10,300,205 ",Asia,,"131,0331",,,24,
78,Paraguay,"718,071",,"19,611                                ",,"698,317",,143,7,"98,287","2,684","2,657,506","363,751","7,305,843 ",South America,,103733,,,20,
79,Bahrain,"695,133",,"1,534                                ",,"692,004",,"1,595",3,"389,652",860,"10,549,937","5,913,698","1,783,983 ",Asia,,"31,1630",,,894,
80,Sri Lanka,"671,546",,"16,795                                ",,"654,625",,126,,"31,125",778,"6,486,117","300,619","21,575,842 ",Asia,,"321,2853",,,6,
81,Kuwait,"662,359",,"2,569                                ",,"659,512",,278,2,"151,212",586,"8,416,379","1,921,405","4,380,326 ",Asia,,"71,7051",,,63,
82,Dominican Republic,"648,216",,"4,384                                ",,"643,333",,499,4,"58,628",397,"3,723,011","336,730","11,056,370 ",North America,,"172,5223",,,45,
83,Myanmar,"633,045",,"19,487                                ",,"607,412",,"6,146",,"11,463",353,"9,596,634","173,767","55,227,143 ",Asia,,"872,8346",,,111,
84,Palestine,"620,816",,"5,404                                ",,"614,962",,450,17,"116,137","1,011","3,078,533","575,907","5,345,541 ",Asia,,99892,,,84,
85,Cyprus,"610,023",,"1,218                                ",,"597,900",,"10,905",60,"498,635",996,"9,640,118","7,879,860","1,223,387 ",Asia,,"21,0040",,,"8,914",
86,Estonia,"608,269",,"2,757                                ",,"524,990",,"80,522",3,"460,144","2,086","3,592,528","2,717,680","1,321,910 ",Europe,,24790,,,"60,913",
87,Moldova,"594,441",,"11,906                                ",,"504,142",,"78,393",49,"148,123","2,967","3,216,305","801,437","4,013,171 ",Europe,,73371,,,"19,534",
88,Venezuela,"546,890",,"5,827                                ",,"540,201",,862,36,"18,686",199,"3,359,014","114,771","29,266,991 ",South America,,"545,0239",,,29,
89,Egypt,"515,645",,"24,613                                ",,"442,182",,"48,850",122,"4,857",232,"3,693,367","34,792","106,156,692 ",Africa,,"2064,31329",,,460,
90,Libya,"507,078",,"6,437                                ",,"500,598",,43,,"72,021",914,"2,483,318","352,707","7,040,745 ",Africa,,"141,0943",,,6,
91,Ethiopia,"494,327",,"7,572                                ",,"472,219",,"14,536",2,"4,092",63,"5,349,611","44,280","120,812,698 ",Africa,,"24415,95523",,,120,
92,Qatar,"476,171",,684                                ,,"474,419",,"1,068",2,"159,793",230,"4,065,369","1,364,257","2,979,915 ",Asia,,"64,3571",,,358,
93,Réunion,"475,195",,902                                ,,"418,572",,"55,721",10,"523,307",993,"1,603,660","1,766,027","908,061 ",Africa,,"21,0071",,,"61,363",
94,Honduras,"457,508",,"11,043                                ",,N/A,N/A,N/A,105,"44,760","1,080","1,557,865","152,414","10,221,247 ",North America,,229267,,,"30,712",
95,Armenia,"445,631",,"8,709                                ",,"434,743",,"2,179",,"149,945","2,930","3,233,258","1,087,919","2,971,966 ",Asia,,73411,,,733,
96,Bosnia and Herzegovina,"400,340",,"16,193                                ",,"378,181",,"5,966",,"123,207","4,984","1,878,405","578,092","3,249,317 ",Europe,,82012,,,"1,836",
97,Oman,"399,027",,"4,260                                ",,"384,669",,"10,098",2,"74,949",800,"25,000,000","4,695,724","5,323,993 ",Asia,,"131,2500",,,"1,897",
98,North Macedonia,"344,531",,"9,567                                ",,"334,335",,629,,"165,536","4,597","2,141,032","1,028,697","2,081,304 ",Europe,,62181,,,302,
99,Kenya,"341,043",,"5,684                                ",,"334,531",,828,1,"6,067",101,"3,935,494","70,008","56,215,221 ",Africa,,"1659,89014",,,15,
100,Zambia,"333,685",,"4,017                                ",,"329,652",,16,,"17,138",206,"3,750,980","192,652","19,470,234 ",Africa,,"584,8475",,,0.8,
101,Albania,"333,257",,"3,593                                ",,"328,069",,"1,595",,"116,264","1,254","1,941,032","677,173","2,866,374 ",Europe,,97981,,,556,
102,Botswana,"326,344",,"2,790                                ",,"322,955",,599,1,"133,684","1,143","2,026,898","830,300","2,441,162 ",Africa,,78751,,,245,
103,Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371 ",Europe,,25670,,,"11,883",
104,Montenegro,"283,512",,"2,789                                ",,"280,499",,224,6,"451,488","4,441","2,660,331","4,236,533","627,950 ",Europe,,22250,,,357,
105,Algeria,"271,028",,"6,881                                ",,"182,530",,"81,617",,"5,976",152,"230,861","5,091","45,350,148 ",Africa,,"1676,591196",,,"1,800",
106,Nigeria,"266,283",,"3,155                                ",,"259,640",,"3,488",11,"1,229",15,"5,441,162","25,104","216,746,934 ",Africa,,"81468,70040",,,16,
107,Zimbabwe,"257,893",,"5,606                                ",,"251,904",,383,12,"16,821",366,"2,525,756","164,744","15,331,428 ",Africa,,"592,7356",,,25,
108,Uzbekistan,"245,508",,"1,637                                ",,"241,486",,"2,385",23,"7,141",48,"1,377,915","40,077","34,382,084 ",Asia,,"14021,00325",,,69,
109,Brunei ,"241,044",,225                                ,,"222,140",,"18,679",3,"541,148",505,"717,784","1,611,437","445,431 ",Asia,,"21,9801",,,"41,935",
110,Mozambique,"230,590",,"2,224                                ",,"228,310",,56,11,"6,969",67,"1,371,127","41,437","33,089,461 ",Africa,,"14314,87824",,,2,
111,Martinique,"223,877",,"1,057                                ",,N/A,N/A,N/A,8,"598,462","2,826","828,928","2,215,870","374,087 ",North America,,23540,,,"595,359",
112,Laos,"216,492",+24,758                                ,,N/A,N/A,N/A,,"28,939",101,"1,233,207","164,845","7,481,023 ",Asia,,"359,8696",3,,"27,814",
113,Iceland,"207,003",,219                                ,,N/A,N/A,N/A,2,"599,326",634,"1,996,384","5,780,036","345,393 ",Europe,,"21,5770",,,"379,565",
114,Kyrgyzstan,"206,511",,"2,991                                ",,"196,406",,"7,114",131,"30,693",445,"1,907,195","283,460","6,728,271 ",Asia,,"332,2504",,,"1,057",
115,Afghanistan,"205,229",,"7,832                                ",,"182,228",,"15,169","1,124","5,036",192,"1,150,891","28,240","40,754,388 ",Asia,,"1995,20435",,,372,
116,El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389 ",North America,,"321,5493",,,"2,770",
117,Guadeloupe,"197,105",,993                                ,,N/A,N/A,N/A,19,"493,016","2,484","938,039","2,346,306","399,794 ",North America,,24030,,,"484,905",
118,Maldives,"185,584",,311                                ,,"163,687",,"21,586",25,"343,048",575,"2,213,831","4,092,223","540,985 ",Asia,,"31,7400",,,"39,901",
119,Trinidad and Tobago,"185,094",,"4,263                                ",,"180,644",,187,8,"131,591","3,031","862,808","613,406","1,406,585 ",North America,,83302,,,133,
120,Ghana,"170,996",,"1,461                                ",,"169,511",,24,2,"5,278",45,"2,520,078","77,791","32,395,450 ",Africa,,"18922,17313",,,0.7,
121,Namibia,"169,946",,"4,080                                ",,"165,826",,40,,"64,523","1,549","1,062,663","403,460","2,633,874 ",Africa,,156462,,,15,
122,Uganda,"169,663",,"3,630                                ",,"100,431",,"65,602",3,"3,503",75,"3,012,408","62,198","48,432,863 ",Africa,,"28513,34216",,,"1,354",
123,Jamaica,"151,931",,"3,320                                ",,"99,392",,"49,219",,"50,897","1,112","1,183,986","396,633","2,985,094 ",North America,,208993,,,"16,488",
124,Cambodia,"138,035",+3,"3,056                                ",,"134,947",+4,32,,"8,040",178,"3,091,420","180,062","17,168,639 ",Asia,,"1245,6186",0.2,,2,
125,Rwanda,"132,643",,"1,467                                ",,"131,112",,64,,"9,753",108,"5,882,479","432,520","13,600,464 ",Africa,,"1039,2712",,,5,
